category	jp	en	tags	source
expression	全身	full body		
expression	フレームアウトした顔	head out of frame		
expression	上半身	upper body		
expression	フレームアウトした肩	cropped shoulders		
expression	膝上から上	cowboy shot		
expression	フレームアウトした胴体	cropped torso		
expression	下半身	lower body		
expression	フレームアウトした脚	cropped legs		
expression	立ち絵	tachi-e		
expression	フレームアウトした足先	feet out of frame		
expression	ヴィネット	faux figurine		
expression	フレームアウト	out of frame		
expression	一部水中の撮影	partially underwater shot		
expression	焦点（男性）	male focus		
expression	焦点（動物）	animal focus		
expression	焦点（ソロ）	solo focus		
expression	焦点（食べ物）	food focus		
expression	焦点（その他）	other focus		
expression	焦点（乗り物）	vehicle focus		
expression	焦点（尻を強調）	ass focus		
expression	焦点（メカ、ロボット）	mecha focus		
expression	焦点（腰）	hip focus		
expression	焦点（武器）	weapon focus		
expression	焦点（足）	foot focus		
expression	焦点（テキスト）	text focus		
expression	焦点（目）	eye focus		
expression	焦点（背中）	back focus		
expression	焦点（胸）	breast focus		
expression	焦点（胸筋）	pectoral focus		
expression	焦点（手）	hand focus		
expression	焦点（腋）	armpit focus		
expression	焦点（へそ）	navel focus		
expression	焦点（髪）	hair focus		
expression	完全正面	straight-on		
expression	正面	facing viewer		
expression	横から	from side		
expression	横顔、横向き	facing to the side		
expression	後方から、後ろ姿	from behind		
expression	後ろ姿、背面	facing away		
expression	上から、ハイアングル	from above		
expression	顔が上を向いている	facing up		
expression	下から、ローアングル	from below		
expression	顔が下を向いている	facing down		
expression	振り返り、目閉じ	facing back		
expression	前方注視	facing ahead		
expression	他者に向かい合う	facing another		
expression	カメラ目線	looking at viewer		
expression	人物の顔に焦点	portrait		
expression	振り返り	looking back		
expression	至近距離 / 接写	close-up		
expression	他者を見る	looking at another		
expression	横顔	profile		
expression	横を見ている状態	looking to the side		
expression	傾いた角度からの撮影	dutch angle		
expression	下を見る	looking down		
expression	上下逆さま	upside-down		
expression	視線を逸らしている	looking away		
expression	靴底	shoe soles		
expression	上を見る	looking up		
expression	自分の正面を見る	looking ahead		
expression	遠くを見る	looking afar		
expression	物体を見る	looking at object		
expression	何らかの形でスカートの中が見えている	upskirt		
expression	(Point of View) 一人称視点	pov		
expression	何らかの形でショーツの中が見えている	upshorts		
expression	一人称視点で自分の手が見える	pov hands		
expression	パンチラ	pantyshot		
expression	一人称視点で下半身が見える	pov crotch		
expression	見えないパンチラ	implied pantyshot		
expression	女性主観視点	female pov		
expression	アップシャツ	upshirt		
expression	ドアの前もしくはドア枠の中からの視点	pov doorway		
expression	胸チラ	downblouse		
expression	テーブル越しの視点	pov across table		
expression	絶対領域	zettai ryouiki		
expression	ベッド越しの視点	pov across bed		
expression	絶対空域	thigh gap		
expression	1人	solo		
expression	人物なし	no humans		
expression	女性1人	1girl		
expression	男性1人	1boy		
expression	女性2人	2girls		
expression	男性2人	2boys		
expression	女性3人	3girls		
expression	男性3人	3boys		
expression	女性4人	4girls		
expression	男性4人	4boys		
expression	女性5人	5girls		
expression	男性5人	5boys		
expression	女性6人以上	6girls		
expression	男性6人以上	6boys		
expression	複数の女性	multiple girls		
expression	複数の男性	multiple boys		
expression	男の娘	otoko no ko		
expression	おねショタ	onee-shota		
expression	百合	yuri		
expression	薔薇	bara		
expression	百合要素	implied yuri		
expression	やおい	yaoi		
expression	おねロリ	onee-loli		
expression	おにショタ	onii-shota		
expression	カップル	couple		
expression	リバ	reversible couple		
expression	二重人格	dual persona		
expression	複数の視点 / 三面図	multiple views		
expression	複数人格	multiple persona		
expression	群衆	crowd		
expression	観客	audience		
expression	集合絵	everyone		
expression	整列、キャラクター等の並び	lineup		
expression	縦列整列	column lineup		
expression	複数画像の組み合わせ	collage		
expression	表情集	expressions		
expression	表情練習	expression chart		
expression	ちびキャラの挿入/付加	chibi inset		
expression	投影された挿入画	projected inset		
expression	ズームレイヤー	zoom layer		
